feature,importance
check_ratio_last_3m,724.0530951665905
balance_check_spike,221.90558892086665
spike_repair,85.93341665124171
urgency_score,74.63462147396504
failed_tx_rate,69.0744365278606
spike_travel,57.01916500214065
high_amount_tx_share,54.19111896402865
spike_electronics,36.95497829596479
max_single_trigger_tx,31.33161255029586
monthly_spend_recent,30.27629019471351
account_age_years,30.013846931877197
cv_balance,29.523674982308876
failed_spike,18.403093236229324
failed_tx_rate_recent,16.223797687320257
balance_trend,15.690179835971776
monthly_spend_std,15.675953900692264
credit_score,15.633736552583287
balance_drop_pct,14.658738107431759
dominant_trigger_mcc,11.692640030290931
burn_rate_ratio,11.096742126777826
sessions_last_3m,10.77058668841346
balance_change_3m,8.100585612112928
age,6.398742819670588
avg_days_late,5.4827578463591635
consecutive_zero_max,5.360854261089116
payments_on_time_rate,3.0049260777886957
spike_clothing,2.231730881612748
burn_acceleration,1.6743447150256543
monthly_salary,1.4589800966714392
zero_day_rate,1.1173271359875798
is_employed,0.7235549986362457
credit_utilization,0.19070659764111042
zero_day_count_recent,0.0
payments_missed_rate,0.0
prior_credit_closed,0.0
